name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Lighthouse Counseling/Mediation Servs,,320 Market Street,,Steubenville,Ohio,43952,740-314-5339,,,,,SA MH SUMH * OP * CMHC * AT CBT CFT DBT GT IDD IPT TELE * PVTP * MHC * MC MD MI PI SF * SS * MF CO HV SED * STU * PEER * TCC * ADLT CHLD SNR YAD * SP * VAPP * COOT FPSY CM
Trinity Health System Behav Med Ctr,,380 Summit Avenue,,Steubenville,Ohio,43952,740-283-7861,740-283-7024,,,,SA MH SUMH * HI OP PHDT RES * IPSY * AT CBT CFT GT IDD IPT TELE * CIT PEON * PVTN * MC MD MI PI SF SI SMHA SWFS * CO * STU * HIVT STDT TBS LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY CM IPC SPS ES
PsyCare,Struthers Clinic,520 Youngstown Poland Road,,Struthers,Ohio,44471,330-318-3078,,,,,SA MH SUMH * OP * OMH * CHLOR HALOP THIOR ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTP * CLF MC MD PI SCJJ SEF SF SWFS * SED * STU * HS * TCC * SMON * ADLT CHLD SNR YAD * AH * VPPD * FPSY ICM CM ES
Flower Hospital,Behavioral Health,5200 Harroun Road,,Sylvania,Ohio,43560,419-824-1444,419-824-1779,419-824-1734,,,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOR ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT ECT GT IDD IPT * CIT PEON WI * PVTN * CLF MC MD MI PI SF SMHA * SE CO SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC FPSY IMR PRS IPC SPS
National Youth Advocate Program Inc,,30 NW Avenue,Building A Suite 120,Tallmadge,Ohio,44278,330-633-4187,,,,,SA MH SUMH * OP * CMHC * CBT CFT GT IDD IPT TELE * PVTN * MHC * CLF MC MD PI SF SI SMHA SWFS * TAY CO TRMA PTSD SED SMI * STU * ADLT CHLD SNR YAD * AH * VPPD * FPSY PRS TPC CM
Chillicothe VA Med Ctr,Athens CBOC,88 North Plains Road,,The Plains,Ohio,45780,740-592-7220,,,,,SA MH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT GT IPT TELE AIM * FED VAMC * PI VAF * VET PTSD * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * ADLT SNR YAD * AH * VAPN * DEC ICM CM IPC SPS
Firelands Counseling/Recovery Servs,Seneca and Wyandot Counties,76 Ashwood Road,,Tiffin,Ohio,44883,419-448-9440,,888-448-9445,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ANTPYCH * AT CBT CFT GT IPT TELE * CIT PEON PEOFF * PVTN * MC MD PI SF SI SMHA * SMON * ADLT CHLD SNR YAD * VAPN * COOT VRS CM
Summit Psychological Associates Inc,,65 St Francis Avenue,,Tiffin,Ohio,44883,567-220-7018 x4212,234-718-2331,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT CFT DBT IDD IPT TELE AIM * PVTP * CLF MC MD MI OSF PI SCJJ SF SI SMHA SWFS * SS * CJ * STU * TCC * SMON * ADLT CHLD SNR YAD * VAPN * COOT FPSY CM
Darke County Recovery Services,Recovery and Wellness Center,1483 West Main Street,,Tipp City,Ohio,45371,937-548-6482,937-423-3432,,,,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH THIOT THIOR ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR IDD IPT TELE * CIT PEOFF * PVTN * CLF CMHG MC MD MI PI SF SI SMHA SWFS VAF * PA SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI PEFP PTSD SED SMI * ADLT CHLD SNR YAD * VPPD * COOT CM
Anchor Addiction/Wellness Center,,5555 Airport Highway,Suite 132,Toledo,Ohio,43615,567-742-7200,,,,,PVTP * SS * VPPD
Beyond Healthcare,,3110 West Central Avenue,Suite A,Toledo,Ohio,43606,419-309-3991,,,,,MH SUMH * OP PHDT * PH * AT CBT CFT DBT EMDR GT IPT TELE * PVTP * MD PI SF * TAY GL CJ TRMA PTSD * TCC * SMON * ADLT CHLD YAD * FX * F4 F67 * VAPN * COOT DEC FPSY CM ES
Court Diagnostic and Treatment Ctr,,1946 North 13th Street,Suite 230,Toledo,Ohio,43604,419-244-8624,,,,,SA MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * CLF OSF * CJ CO TRMA PTSD * ADLT SNR YAD * AH * VPPD * COOT
Harbor,,3909 Woodley Road,,Toledo,Ohio,43606,419-475-4449,,,,,SA MH SUMH * OP * CMHC * THIOR ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * CLF CSBG MC MD MI PI SF SI SMHA * SS * TAY SE GL VET ADM MF CJ CO HV TRMA PTSD SMI * STU * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM DEC PRS VRS CM
Harbor,,6629 West Central Avenue,,Toledo,Ohio,43617,419-475-4449,,419-241-6191,,,MH * OP * CMHC * CBT CFT DBT GT IPT TELE * CIT * PVTN * CLF CSBG MD MI PI SF SMHA * PA SS * GL VET ADM MF HV PTSD SED * STU * TCC * SMON * CHLD YAD * AH * VAPN * PRS CM
Harbor,Wood County Inc,3909 Woodley Road,,Toledo,Ohio,43606,419-214-3643,419-352-5387,,,,SA MH * OP * CMHC * FLUPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT GT IPT TELE * WI * PVTN * CLF CSBG MC MD MI OSF PI SF SI * SS * TAY GL VET ADM MF HV SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * CM
Harbor ,,7140 Port Sylvania Drive,,Toledo,Ohio,43617,419-475-4449,,,,,SA MH SUMH * OP * CMHC * BREXP CLOZA ILOPE OLANZ RISPE ANTPYCH * CBT CFT GT IPT TELE * CIT * PVTN * CLF CSBG MD PI SF SMHA * PA SS * TAY PTSD SED * STU * TCC * SMON * CHLD * AH * VAPN * PRS CM
Harbor Wood County,,1010 North Prospect Street,,Toledo,Ohio,43617,419-352-5387,,,,,SA MH SUMH * OP * CMHC * BREXP CARIP CLOZA ILOPE LURAS OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IDD IPT TELE * CIT WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * PA SS * GL VET ADM MF CJ CO HV SMI * STU * HS * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT DEC CM SPS
Lutheran Social Services,Administrative Office,2149 Collingwood Boulevard,,Toledo,Ohio,43620,419-243-9178,,,,,SA MH SUMH * OP * OMH * AT CBT CFT GT IDD IPT TELE * PVTN * MD MI PI SF VAF * SS * CJ * HS * TCC * SMOP * ADLT CHLD SNR YAD * AH * VAPP * COOT PRS ES
National Youth Advocate Program Inc,,1219 Jefferson Avenue,,Toledo,Ohio,43604,567-289-2273,,,,,SA MH SUMH * OP * CMHC * CBT CFT GT IDD IPT TELE * PVTN * MHC * CLF MC MD PI SF SI SMHA SWFS * TAY CO TRMA PTSD SED SMI * STU * ADLT CHLD SNR YAD * AH * VPPD * FPSY ICM PRS TPC CM
Northwest Ohio Psychiatric Hospital,,930 South Detroit Avenue,,Toledo,Ohio,43614,419-381-1881,419-381-1881 x2188,,,,MH SUMH * HI * PSY * CHLOR FLUPH HALOP PERPH TRIFL ARIPI ASENA BREXP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT DBT GT IPT TELE AIM * PEON * STG * CLF MC MD MI OSF PI SF SMHA * SE VET CJ CO TRMA PEFP PTSD SMI * STU * TBS MST LABT * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * COOT DEC FPSY ICM PRS SEMP VRS CM SPS ES
Toledo Hospital/RJE Childrens Hospital,Pediatric Psychiatry,2121 Hughes Drive,,Toledo,Ohio,43606,419-291-4681,,,,,SA MH SUMH * HI * IPSY * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT * CIT PEON WI * PVTN * MD MI PI SF * STU * MST LABT * TCC * SMON * CHLD * AH * VAPN * CDM DEC FPSY IMR PRS CM IPC SPS ES
Unison Health,,544 East Woodruff Avenue,,Toledo,Ohio,43604,419-242-9577,419-214-4673,,,,SA MH SUMH * OP PHDT * CMHC * NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * WI * PVTN * CLF CMHG CSBG MC MD PI SCJJ SF SI SMHA SWFS * PA SS * SE CJ CO DV TRMA PED PTSD SMI * STU * MST * HS PEER * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * ACT COOT DEC FPSY ICM IMR PRS CM IPC SPS
Unison Health,,1425 Starr Avenue,,Toledo,Ohio,43614,419-693-0631,419-214-4673,,,,SA MH SUMH * OP PHDT * CMHC * NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * WI * PVTN * CLF CMHG CSBG MC MD PI SCJJ SF SI SMHA SWFS * PA SS * TAY SE CO DV TRMA PED PTSD SED SMI * STU * MST * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * DEC FPSY IMR CM IPC SPS
University of Toledo Medical Center,Behavioral Health Unit,3000 Arlington Avenue,,Toledo,Ohio,43614,419-383-4000,419-383-3815,419-383-5695,,,SA MH * HI OP PHDT * IPSY * CHLOR HALOP LOXAP THIOR ARIPI ASENA CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT ECT EMDR GT IDD IPT KIT TMS TELE AIM * PVTN * CLF MC MD MI PI SF SI SMHA SWFS VAF * SE ALZ * STU * MST LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * ACT CDM DEC FPSY ICM PRS CM IPC SPS ES
VA Ann Arbor Healthcare System,Toledo Comm Based Outpt Clinic,1200 South Detroit Avenue,,Toledo,Ohio,43614,419-259-2000,419-259-2000 x57525,,,,SA MH SUMH * OP * VAHC * CHLOR HALOP ARIPI CLOZA QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT WI * FED VAMC * MC MD MI PI VAF * GL VET ADM MF CJ CO HV DV TRMA PTSD SMI * STU * HS PEER * TCC * SMON * ADLT SNR YAD * VAPN * ACT CDM COOT DEC FPSY IMR LAD PRS SEMP SH CM IPC SPS ES
Zepf Center,,6605 West Central Avenue,,Toledo,Ohio,43617,419-841-7701,,,,,MH * OP * MSMH * FLUPH HALOP LOXAP THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CLF CMHG MC MD PI SCJJ SF * TAY SE GL VET MF CJ CO HV TRMA TBI PED PTSD SED SMI * STU * HS * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT DEC FPSY ICM IMR PRS SEMP SH VRS CM SPS ES
Zepf Center,,905 Nebraska Avenue,,Toledo,Ohio,43607,419-841-7701,,,,,MH * OP * MSMH * FLUPH HALOP LOXAP THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CLF CMHG MC MD PI SF * SE GL VET MF CJ CO HV TRMA TBI PED PTSD SMI * STU * HS PEER * TCC * ADLT SNR YAD * AH * VPPD * ACT COOT DEC FPSY ICM IMR PRS SEMP SH VRS CM IPC SPS ES
Zepf Center,Hawley,508 North Hawley Street,,Toledo,Ohio,43607,419-841-7701,,,,,MH * OP * MSMH * CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CLF CMHG MC MD PI SF * SE GL VET MF CO HV TRMA TBI PED PTSD SMI * ADLT SNR YAD * AH * VPPD * ACT COOT DEC FPSY IMR SPS ES
Zepf Center,Woodruff,424 West Woodruff Avenue,,Toledo,Ohio,43604,419-841-7701,,,,,MH * OP PHDT * MSMH * ARIPI CLOZA OLANZ QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IPT TELE * CIT PEON PEOFF * PVTN * CLF CMHG MC MD PI SCJJ SF * TAY GL MF HV TRMA PTSD SED SMI * HS * CHLD YAD * AH * VPPD * COOT DEC FPSY ICM IMR VRS CM SPS ES
Samaritan Behavioral Health Miami Corp,,3130 North County Road 25A ,,Troy,Ohio,45373,937-440-7121,937-734-8333,,,,MH SUMH * OP * CMHC * CHLOR HALOP LOXAP PERPH THIOT TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE * PVTN * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SMHA SWFS * CO TRMA PTSD SED SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT DEC FPSY PRS CM IPC SPS
Child Guidance and Family Solutions,,2305 East Aurora Road,Unit A-12,Twinsburg,Ohio,44087,330-425-7111,330-762-0591,,,,SA MH SUMH * OP * CMHC * ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * CLF FG MD MI PI PCF SF SMHA SWFS * PA SS * GL VET ADM MF CJ CO HV DV TRMA PEFP PTSD SED SMI * STU * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT FPSY CM SPS
TCN Behavioral Health,,1522 East U.S. Highway 36,Suite A,Urbana,Ohio,43078,937-599-1975,,937-376-8700,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT DBT GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SMHA * PA SS * CO TRMA PTSD SED SMI * PEER * ADLT CHLD SNR YAD * VPPD * ACT COOT FPSY ICM CM SPS ES
WellSpring Urbana,,1 Monument Square,,Urbana,Ohio,43078,937-653-5990,,,,,MH * OP * CMHC * CBT CFT EMDR GT IPT TELE * PVTN * CLF MD PI PCF SF * PA SS * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY
Recovery Works Healing Center LLC,,705 South Brown School Road,,Vandalia,Ohio,45377,937-890-5400,,,,,SA MH SUMH * OP * OMH * ANTPYCH * AT CBT CFT DBT GT IPT TELE * PVTP * MD PI SF * SMI * HIVT HBT HCT LABT * ADLT SNR YAD * VPPD * FPSY PRS CM
South Community,Kenbrook Location,211 Kenbrook Drive,Suite 1,Vandalia,Ohio,45377,937-293-8300,,,,,MH SUMH * OP * CMHC * RISPE ANTPYCH * CBT CFT GT IPT TELE * PVTN * CLF MC MD PI SCJJ SF SI * TAY SE GL CO TRMA PED PTSD SED SMI * SMON * ADLT CHLD SNR YAD * VAPN * TPC CM
Adriel,,521 South Shannon Street,,Van Wert,Ohio,45891,419-513-2600,,,,,MH SUMH * OP * OMH * AT CBT CFT DBT GT IPT TELE * PVTN * MHC * MD SCJJ SI SMHA SWFS * TAY SED * SMON * CHLD YAD * VAPN * FPSY TPC CM
Marsh Foundation,,1229 Lincoln Highway,P.O. Box 150,Van Wert,Ohio,45891,419-238-1695 x370,419-238-1695 x360,419-238-1695 x340,,,MH * OP * OMH * CBT CFT DBT GT IPT TELE * PVTN * MHC * CLF MD PI SCJJ SF SMHA SWFS * GL CJ TRMA PTSD SED * SMON * CHLD * VAPN * COOT FPSY PRS CM ES
Westwood Behavioral Health Ctr Inc,,1158 Westwood Drive,,Van Wert,Ohio,45891,419-238-3434,,,,,SA MH SUMH * OP * CMHC * FLUPH HALOP LOXAP PERPH THIOT ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF CMHG FG MC MD PI SF SMHA * SS * CJ TRMA PTSD SED SMI * STU * HS PEER * TCC * ADLT CHLD SNR YAD * AH FX * F28 * VPPD * CDM COOT FPSY ICM PRS CM SPS ES
Alta Care Group,Howland Office,1950 NE Niles Cortland Road,,Warren,Ohio,44484,330-793-2487,,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON * PVTN * CLF CMHG MD MI PI SF SMHA * TAY GL MF CJ CO HV DV TRMA PEFP PTSD SED SMI * STU * PEER * CHLD YAD * AH SP * VPPD * COOT FPSY PRS CM SPS ES
Compass Family and Community Services,,320 High Street NE,,Warren,Ohio,44481,330-394-9090,,,,,SA MH SUMH * OP * OMH * ARIPI CLOZA RISPE ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * PA SS * TAY SE GL VET ADM MF CJ CO HV DV TRMA PTSD SMI * STU * MST HBT HCT LABT * HS PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * ACT AOT COOT FPSY ICM PRS SEMP VRS CM SPS ES
Compass Family and Community Services,Riverbend Center,3120 West Market Street,,Warren,Ohio,44485,330-898-6992,330-392-1100,,,,MH SUMH * RES * RTCA * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT DBT GT IDD IPT * CIT * PVTN * CLF MC MD SF SMHA * CO SMI * MST LABT * SMOP * ADLT SNR YAD * AH * VAPP * ACT COOT DEC FPSY CM
Greentree Counseling Center Inc,,430 Franklin Street SE,,Warren,Ohio,44483,330-372-2200,,,,,SA MH SUMH * OP * OMH * CBT CFT GT IDD IPT TELE * CIT * PVTP * CLF MD MI PI SF * GL TRMA * SMON * ADLT CHLD SNR YAD * VAPN * COOT CM ES
Northeast Ohio VA Healthcare System,Warren CBOC,1460 Tod Avenue NW,,Warren,Ohio,44485,330-392-0311 x44506,330-392-0311,,,,SA MH SUMH * OP * VAHC * NRT NSC * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * FED VAMC * MC MD MI SF SI VAF * VET * STU * HS PEER * TCC * SMON * ADLT SNR YAD * VAPN * ACT CDM COOT DEC FPSY ICM IMR LAD PRS SEMP SH VRS CM IPC SPS ES
Valley Counseling Services,Adult Office,150 East Market Street,,Warren,Ohio,44481,330-399-6451,,,,,SA MH SUMH * OP * CBHC * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT WI * PVTN * CLF MC MD PI SF * SS * CJ SMI * PEER * SMON * ADLT SNR YAD * AH * VAPN * COOT FPSY CM SPS
Valley Counseling Services,Childrens Office,318 Mahoning Avenue NW,,Warren,Ohio,44483,330-395-9563,,,,,SA MH SUMH * OP PHDT * CBHC * ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * WI * PVTN * CLF MC MD PI SF SWFS * SS * TAY SED * PEER * SMON * CHLD YAD * AH * VAPN * COOT FPSY CM SPS
National Youth Advocate Program Inc,,213 Draper Street,,Washington Court House,Ohio,43160,937-253-0606,,877-692-7226,,,MH SUMH * OP * OMH * CBT CFT IPT * PVTN * MD SMHA SWFS * CHLD YAD * VPPD * FPSY TPC CM
FCHC Behavioral Health,Hospital Inpatient,725 South Shoop Avenue,,Wauseon,Ohio,43567,419-330-2775,,800-323-2708,,,SA MH SUMH * HI OP PHDT * IPSY * FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT EMDR GT IDD IPT TELE AIM * PEON WI * PVTN * MC MD PI SF * SE CO * STU * MST HBT HCT LABT * TCC * SMON * ADLT SNR YAD * AH * COOT DEC FPSY IMR PRS SPS ES
Scioto Paint Valley Mental Health Ctr,Pike County Office,102 Dawn Lane,,Waverly,Ohio,45690,740-947-7783,,,,,SA MH SUMH * OP * OMH * NSC ANTPYCH * AT CBT CRT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * FQHC * CLF CMHG CSBG MC MD OSF PI SEF SF SI SMHA SWFS * PA SS * TAY SE GL VET CJ CO DV TRMA TBI PED PTSD SED SMI * STU * PEER * SMON * ADLT CHLD SNR YAD * AH SP FX * F70 * VAPN * AOT CDM COOT DEC FPSY ICM IMR PRS VRS CM IPC SPS ES
A Haven for Kids Inc,DBA Positive Leaps,5900 West Chester Road,,West Chester,Ohio,45069,513-777-2428,,,,,MH * OP PHDT * MSMH * AT CBT CFT DBT GT IPT TELE * CIT PEON PEOFF * PVTP * MHC * CLF MD MI OSF PI SF SI SMHA SWFS * GL MF TRMA PTSD SED * SMON * CHLD * VAPN * COOT FPSY PRS CM
Beckett Springs,,8614 Shepherd Farm Drive,,West Chester,Ohio,45069,513-942-9500,,,,,SA MH SUMH * HI OP PHDT * PSY * FLUPH HALOP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD TELE AIM * CIT PEON PEOFF WI * PVTP * CLF CMHG MC MD MI PI SCJJ SF SI SMHA VAF * SE VET ADM CO TRMA PTSD SED SMI * STU * HIVT STDT TBS MST LABT * PEER * TCC * ADLT CHLD SNR YAD * AH * VAPN * CDM COOT DEC FPSY IMR PRS SPS
Modern Psychiatry and Wellness LLC,,6942 Tylersville Road,,West Chester,Ohio,45069,513-868-0055,513-440-5117,,,,SA MH SUMH * OP * OMH * NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTP * MC MD PI SF * PA SS * SE GL VET CO HV TRMA PED PEFP PTSD SMI * TCC * ADLT SNR YAD * AH * VPPD * COOT FPSY CM
Concord Counseling Services,,700 Brooksedge Boulevard,,Westerville,Ohio,43081,614-882-9338,614-882-9338 x205,,,,SA MH SUMH * OP * CMHC * ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * PVTN * CLF CMHG CSBG MC MD MI PI SF SI SMHA SWFS * PA SS * TAY SE TRMA SMI * STU * PEER * TCC * ADLT CHLD SNR YAD * AH FX * F31 F66 * VPPD * COOT FPSY ICM PRS SEMP SH VRS CM SPS
Nationwide Childrens Hospital,Behavioral Health Services,275 West Schrock Road,,Westerville,Ohio,43081,614-355-0514,,,,,MH * OP * OMH * CBT CFT GT IPT * PVTN * CLF CMHG MC MD MI OSF PI SI SMHA SWFS * SMON * CHLD YAD * AH * VAPN * FPSY CM SPS
Westerville Close to Home,,185 West Schrock Road,,Westerville,Ohio,43081,614-355-0514,,,,,MH * OP * OMH * ANTPYCH * CBT CFT GT IPT * PVTN * CLF CMHG MC MD MI OSF PI SI SMHA SWFS * SMON * CHLD YAD * AH * VAPN * FPSY CM SPS
Achievement Centers for Children,,24211 Center Ridge Road,,Westlake,Ohio,44145,440-250-2520,216-292-9700,,,,MH * OP * OMH * CBT CFT IPT TELE * PVTN * MHC * CLF MC MD PI SF * PA SS * TAY SE TRMA PTSD SED * SMON * ADLT CHLD SNR YAD * VAPN * FPSY CM
Cleveland Behavioral Health Solutions,,25 Main Street,Suite 211,Westlake,Ohio,44145,440-821-0051,,,,,MH SUMH * OP * OMH * CBT CFT DBT GT IPT TELE * PVTP * MHC * MC MD MI PI SF SI * TAY SE GL VET ADM MF CJ CO DV TRMA ALZ PED PEFP PTSD SMI * SMON * ADLT CHLD SNR YAD * VAPN * AOT COOT DEC FPSY
Adriel School Inc,,550 North Detroit Street,,West Liberty,Ohio,43357,937-465-0010,,,,,MH SUMH * OP * OMH * AT CBT CFT DBT GT IPT TELE * PVTN * MHC * MD SCJJ SI SMHA SWFS * TAY SED * SMON * CHLD YAD * VAPN * FPSY TPC CM
TCN Behavioral Health,,1521 North Detroit Street,,West Liberty,Ohio,43357,937-376-8700,,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT DBT GT IDD IPT TELE * PEON * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SMHA * PA SS * TAY SE CJ CO SMI * ADLT SNR YAD * VPPD * COOT CM SPS ES
Family Recovery Services,,3964 Wheat Ridge Road,,West Union,Ohio,45693,937-544-0100,,,,,MH SUMH * PHDT * PH * CBT GT TELE * PVTN * CLF MD SF * SED * CHLD * AH * VPPD * FPSY CM SPS
FRS Counseling/Family Recovery Service,,14297 State Route 41,,West Union,Ohio,45693,937-779-3030,,,,,SA MH SUMH * OP * OMH * CBT CFT EMDR GT IDD IPT TELE AIM * PVTN * CLF MD SF * PA SS * CO * STU * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY CM SPS
National Youth Advocate Program Inc,,118 West Jackson Street,Suite B,West Unity,Ohio,43570,419-221-2821,,,,,SA MH SUMH * OP * CMHC * CBT CFT GT IDD IPT TELE * PVTN * MHC * CLF MC MD PI SF SI SMHA SWFS * TAY CO TRMA PTSD SED SMI * STU * ADLT CHLD SNR YAD * AH * VPPD * FPSY ICM PRS TPC CM
Advanced Psychotherapy Services,,28916 Euclid Avenue,,Wickliffe,Ohio,44092,440-944-6565,,,,,SA MH SUMH * OP * OMH * CBT CRT CFT DBT EMDR GT IDD IPT TELE * PVTP * FG MD MI PI SF SI * TAY SE VET MF CJ CO DV TRMA PTSD SMI * ADLT CHLD SNR YAD * VPPD * COOT FPSY PRS
Signature Health,,38882 Mentor Avenue,,Willoughby,Ohio,44094,440-953-9999 x10170,440-953-9999,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT WI * PVTN * FQHC * CLF CMHG MC MD SF SI * PA SS * CJ CO HV PED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * CDM COOT DEC ICM IMR CM IPC SPS
Solutions Community Counseling and,Recovery Centers,953 South South Street,,Wilmington,Ohio,45177,937-383-4441,,,,,SA MH SUMH * OP * CMHC * CHLOR HALOP OLANZ RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PEON * PVTN * CLF FG MC MD MI PI SF * PA SS * CO TRMA PTSD SED SMI * STU * SMON * ADLT CHLD SNR YAD * AH * VAPN * ACT COOT FPSY ICM PRS CM
Talbert House,,602 South South Street,,Wilmington,Ohio,45177,937-414-2016,,,,,SA MH SUMH * OP * CMHC * RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PVTN * CLF MC MD OSF PI SCJJ SF SI SMHA SWFS * PA SS * CJ SMI * STU * MST LABT * PEER * TCC * SMON * ADLT CHLD SNR YAD * AH * VAPN * COOT DEC FPSY ICM CM IPC
